family,model_arm,transform,design,metric,half,seed_set,decision_seed,label,contrast,cluster_unit,clustered,decides,point,percentile_low,percentile_high,bca_low,bca_high,p_two_sided,bootstrap_sd,mde_80,bias_z0,acceleration,loco_min,loco_max,n_units,n_clusters,n_resamples,bootstrap_seed,n_nan_draws,higher_is_better,with_value,transform_value,n_pairs,primary_cluster_unit,status,target,detail
H3,B5,WITHOUT,V5,crps,selection,discovery,104729,"discovery, optimistically biased (selection half)",,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN,,NOT_RUN: no learned arm has a predictive SD (std_logD NaN; split-conformal intervals only)
H3,B5,ACT_PERMUTED,V5,rank_accuracy,selection,discovery,104729,"discovery, optimistically biased (selection half)",B5:WITH - B5:ACT_PERMUTED,system,True,True,0.0388231,0.00746058,0.13266,0.00903365,0.148522,0,0.0330066,0.0924186,0.023063,0.0330994,0.0248053,0.0483264,59,11,10000,19,0,True,0.942319,0.903496,33261,True,computed,,
H3,B5,ACT_PERMUTED,V5,rank_accuracy,selection,discovery,104729,"discovery, optimistically biased (selection half)",B5:WITH - B5:ACT_PERMUTED,publication_group,True,True,0.0388231,0.0063884,0.116295,0.00907696,0.132598,0.0002,0.0288432,0.080761,0.0481459,0.0379054,0.0248053,0.0475933,59,14,10000,19,0,True,0.942319,0.903496,33261,False,computed,,
H3,B5,ACT_PERMUTED,V5,abs_coverage_gap_80,selection,discovery,104729,"discovery, optimistically biased (selection half)",abs_coverage_gap_80 B5:ACT_PERMUTED - B5:WITH,system,True,True,0.00802784,-0.0123665,0.0205587,-0.0133863,0.0201413,0.3238,0.00832085,0.0232984,-0.0157924,-0.00819835,0.00405379,0.0124766,59,11,10000,19,0,False,0.952954,0.960982,,True,computed,0.8,
H3,B5,ACT_PERMUTED,V5,width_80,selection,discovery,104729,"discovery, optimistically biased (selection half)",width_80 B5:ACT_PERMUTED - B5:WITH,system,True,True,0.884597,0.854297,0.914629,0.851889,0.912772,0,0.0153305,0.0429255,-0.0298333,-0.0226155,0.87322,0.897805,59,11,10000,19,0,False,1.69111,2.57571,,True,computed,,
H3,B5,ACT_PERMUTED,V5,abs_coverage_gap_80,selection,discovery,104729,"discovery, optimistically biased (selection half)",abs_coverage_gap_80 B5:ACT_PERMUTED - B5:WITH,publication_group,True,True,0.00802784,-0.00963245,0.0244011,-0.010428,0.0237565,0.2996,0.00845386,0.0236708,-0.0188008,-0.00748336,0.00443245,0.0124766,59,14,10000,19,0,False,0.952954,0.960982,,False,computed,0.8,
H3,B5,ACT_PERMUTED,V5,width_80,selection,discovery,104729,"discovery, optimistically biased (selection half)",width_80 B5:ACT_PERMUTED - B5:WITH,publication_group,True,True,0.884597,0.847026,0.922448,0.843911,0.920793,0,0.0194183,0.0543713,-0.0125335,-0.0205833,0.873929,0.897805,59,14,10000,19,0,False,1.69111,2.57571,,False,computed,,
H3,B5,ACT_PERMUTED,V5,abs_coverage_gap_95,selection,discovery,104729,"discovery, optimistically biased (selection half)",abs_coverage_gap_95 B5:ACT_PERMUTED - B5:WITH,system,True,True,-0.00232841,-0.0208981,0.00603265,-0.020979,0.0057943,0.691,0.00664614,0.0186092,-0.0164192,-0.000681132,-0.00650673,0.00161022,59,11,10000,19,0,False,0.992601,0.990273,,True,computed,0.95,
H3,B5,ACT_PERMUTED,V5,width_95,selection,discovery,104729,"discovery, optimistically biased (selection half)",width_95 B5:ACT_PERMUTED - B5:WITH,system,True,True,1.05678,0.977783,1.09566,0.992001,1.09891,0,0.0306285,0.0857599,0.0571823,0.0298614,1.03889,1.06811,59,11,10000,19,0,False,3.38378,4.44056,,True,computed,,
H3,B5,ACT_PERMUTED,V5,abs_coverage_gap_95,selection,discovery,104729,"discovery, optimistically biased (selection half)",abs_coverage_gap_95 B5:ACT_PERMUTED - B5:WITH,publication_group,True,True,-0.00232841,-0.017706,0.00574768,-0.0237496,0.00435028,0.6648,0.00582752,0.0163171,-0.0903614,-0.0652934,-0.00423546,0.00161022,59,14,10000,19,0,False,0.992601,0.990273,,False,computed,0.95,
H3,B5,ACT_PERMUTED,V5,width_95,selection,discovery,104729,"discovery, optimistically biased (selection half)",width_95 B5:ACT_PERMUTED - B5:WITH,publication_group,True,True,1.05678,0.986301,1.10221,0.997853,1.10785,0,0.0295729,0.0828041,0.0453855,0.037633,1.03889,1.06811,59,14,10000,19,0,False,3.38378,4.44056,,False,computed,,
H3,B5,ACT_PERMUTED,V5,crps,selection,discovery,104729,"discovery, optimistically biased (selection half)",,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN,,NOT_RUN: no learned arm has a predictive SD (std_logD NaN; split-conformal intervals only)
