design,model_arm,transform,unit_key,mae_with,mae_transform,delta_mae,n_rows,system,publication_group,g19_metal_state,extractant_system_key,metal_state,n_rows_sys,n_actinide_rows,n_ln_iii_rows,system_family,mechanism,n_an_ln_pairs,median_abs_an_ln_logsf,am_eu_pair_share,monoamide_only_system,shares_component_with_monoamide_only_system,actinide_dependent,am_eu_heavy_dga,tables_label
V5,B5,WITHOUT,Er(III) x CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.192023,0.16821,-0.0238127,20,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,pub_19783c039b,Er(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,,462,1,298,diglycolamide,NEUTRAL_SOLVATING,1,0.218559,1,False,False,False,True,exploratory (section 11 condition not met on the registered reading)
V5,B5,WITHOUT,Er(III) x CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.195958,0.187907,-0.00805181,77,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,pub_37086f6378,Er(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,,3066,945,1510,diglycolamide,NEUTRAL_SOLVATING,295,0.79698,0.681356,False,False,False,True,exploratory (section 11 condition not met on the registered reading)
V5,B5,WITHOUT,Er(III) x CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,0.0966243,0.11266,0.0160357,16,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,pub_6a0ef8528c,Er(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,,348,0,348,n_heterocyclic,SOFT_N_DONOR,0,,,False,False,False,False,exploratory (section 11 condition not met on the registered reading)
V5,B5,WITHOUT,Er(III) x CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,0.102168,0.0826358,-0.0195321,10,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,pub_8415538291,Er(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,,140,0,140,pyridine_carboxamide,SOFT_N_DONOR,0,,,False,False,False,False,exploratory (section 11 condition not met on the registered reading)
V5,B5,WITHOUT,Eu(III) x CCCCCCCC(=O)N(CCCCCC)CCCCCC|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.256279,1.32802,1.07174,14,CCCCCCCC(=O)N(CCCCCC)CCCCCC|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,pub_04794d6d09,Eu(III),CCCCCCCC(=O)N(CCCCCC)CCCCCC|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,,77,59,18,diglycolamide+monoamide,MIXED_NEUTRAL,33,0.535785,0.363636,False,True,True,False,exploratory (section 11 condition not met on the registered reading)
V5,B5,WITHOUT,Eu(III) x CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.150558,0.266824,0.116266,22,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,pub_19783c039b,Eu(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,,462,1,298,diglycolamide,NEUTRAL_SOLVATING,1,0.218559,1,False,False,False,True,exploratory (section 11 condition not met on the registered reading)
V5,B5,WITHOUT,Eu(III) x CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,0.539769,1.23108,0.691307,20,CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,pub_86cd2c5ec0,Eu(III),CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,,64,18,46,diglycolamide,NEUTRAL_SOLVATING,14,0.344208,1,False,False,False,True,exploratory (section 11 condition not met on the registered reading)
V5,B5,WITHOUT,Eu(III) x CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,0.380756,0.877298,0.496542,13,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,pub_cdc2243314,Eu(III),CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,,58,32,26,amino_polyamide,NEUTRAL_SOLVATING,11,0.699708,1,False,False,False,False,exploratory (section 11 condition not met on the registered reading)
V5,B5,WITHOUT,Eu(III) x CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.764929,1.014,0.24907,408,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,pub_e287124c22,Eu(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,,3066,945,1510,diglycolamide,NEUTRAL_SOLVATING,295,0.79698,0.681356,False,False,False,True,exploratory (section 11 condition not met on the registered reading)
V5,B5,WITHOUT,Eu(III) x CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOc1cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,0.37205,1.18513,0.813078,16,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOc1cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,pub_ad5a7268e5,Eu(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOc1cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,,71,55,16,diglycolamide,NEUTRAL_SOLVATING,12,0.288961,0.666667,False,False,True,True,exploratory (section 11 condition not met on the registered reading)
V5,B5,WITHOUT,Eu(III) x CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,0.452273,1.3923,0.94003,13,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,pub_e287124c22,Eu(III),CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,,47,12,35,pyridine_carboxamide,SOFT_N_DONOR,12,0.0172746,1,False,False,False,False,exploratory (section 11 condition not met on the registered reading)
V5,B5,WITHOUT,Eu(III) x CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,0.859826,0.728211,-0.131615,157,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,pub_2319535dff,Eu(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,,348,0,348,n_heterocyclic,SOFT_N_DONOR,0,,,False,False,False,False,exploratory (section 11 condition not met on the registered reading)
V5,B5,WITHOUT,Eu(III) x CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,0.198884,0.152144,-0.0467394,10,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,pub_8415538291,Eu(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,,140,0,140,pyridine_carboxamide,SOFT_N_DONOR,0,,,False,False,False,False,exploratory (section 11 condition not met on the registered reading)
V5,B5,WITHOUT,Gd(III) x CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,0.238122,0.229182,-0.00894009,15,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,pub_bdb1564c49,Gd(III),CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,,134,0,134,diglycolamide,NEUTRAL_SOLVATING,0,,,False,False,False,False,exploratory (section 11 condition not met on the registered reading)
V5,B5,WITHOUT,Gd(III) x CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.0539092,0.0881886,0.0342794,22,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,pub_19783c039b,Gd(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,,462,1,298,diglycolamide,NEUTRAL_SOLVATING,1,0.218559,1,False,False,False,True,exploratory (section 11 condition not met on the registered reading)
V5,B5,WITHOUT,Gd(III) x CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.220945,0.211284,-0.00966051,120,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,pub_37086f6378,Gd(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,,3066,945,1510,diglycolamide,NEUTRAL_SOLVATING,295,0.79698,0.681356,False,False,False,True,exploratory (section 11 condition not met on the registered reading)
V5,B5,WITHOUT,Gd(III) x CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,0.373559,0.330687,-0.0428722,16,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,pub_6a0ef8528c,Gd(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,,348,0,348,n_heterocyclic,SOFT_N_DONOR,0,,,False,False,False,False,exploratory (section 11 condition not met on the registered reading)
V5,B5,WITHOUT,Gd(III) x CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,0.204563,0.158528,-0.0460357,10,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,pub_8415538291,Gd(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,,140,0,140,pyridine_carboxamide,SOFT_N_DONOR,0,,,False,False,False,False,exploratory (section 11 condition not met on the registered reading)
V5,B5,WITHOUT,Ho(III) x CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.174153,0.180856,0.00670289,21,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,pub_19783c039b,Ho(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,,462,1,298,diglycolamide,NEUTRAL_SOLVATING,1,0.218559,1,False,False,False,True,exploratory (section 11 condition not met on the registered reading)
V5,B5,WITHOUT,Ho(III) x CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.150725,0.14221,-0.00851535,82,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,pub_37086f6378,Ho(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,,3066,945,1510,diglycolamide,NEUTRAL_SOLVATING,295,0.79698,0.681356,False,False,False,True,exploratory (section 11 condition not met on the registered reading)
V5,B5,WITHOUT,Ho(III) x CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,0.0497324,0.0528317,0.00309931,16,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,pub_6a0ef8528c,Ho(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,,348,0,348,n_heterocyclic,SOFT_N_DONOR,0,,,False,False,False,False,exploratory (section 11 condition not met on the registered reading)
V5,B5,WITHOUT,Ho(III) x CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,0.145448,0.0989958,-0.0464525,10,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,pub_8415538291,Ho(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,,140,0,140,pyridine_carboxamide,SOFT_N_DONOR,0,,,False,False,False,False,exploratory (section 11 condition not met on the registered reading)
V5,B5,WITHOUT,La(III) x CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.129699,0.104837,-0.0248612,22,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,pub_19783c039b,La(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,,462,1,298,diglycolamide,NEUTRAL_SOLVATING,1,0.218559,1,False,False,False,True,exploratory (section 11 condition not met on the registered reading)
V5,B5,WITHOUT,La(III) x CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.37194,0.357032,-0.0149079,88,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,pub_37086f6378,La(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,,3066,945,1510,diglycolamide,NEUTRAL_SOLVATING,295,0.79698,0.681356,False,False,False,True,exploratory (section 11 condition not met on the registered reading)
V5,B5,WITHOUT,La(III) x CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,0.194741,0.243169,0.0484284,16,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,pub_6a0ef8528c,La(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,,348,0,348,n_heterocyclic,SOFT_N_DONOR,0,,,False,False,False,False,exploratory (section 11 condition not met on the registered reading)
V5,B5,WITHOUT,La(III) x CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,0.207377,0.190692,-0.0166849,10,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,pub_8415538291,La(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,,140,0,140,pyridine_carboxamide,SOFT_N_DONOR,0,,,False,False,False,False,exploratory (section 11 condition not met on the registered reading)
V5,B5,WITHOUT,Lu(III) x CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.156344,0.121635,-0.0347091,22,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,pub_19783c039b,Lu(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,,462,1,298,diglycolamide,NEUTRAL_SOLVATING,1,0.218559,1,False,False,False,True,exploratory (section 11 condition not met on the registered reading)
V5,B5,WITHOUT,Lu(III) x CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.273617,0.240588,-0.0330294,90,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,pub_37086f6378,Lu(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,,3066,945,1510,diglycolamide,NEUTRAL_SOLVATING,295,0.79698,0.681356,False,False,False,True,exploratory (section 11 condition not met on the registered reading)
V5,B5,WITHOUT,Lu(III) x CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,0.116221,0.222263,0.106042,16,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,pub_6a0ef8528c,Lu(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,,348,0,348,n_heterocyclic,SOFT_N_DONOR,0,,,False,False,False,False,exploratory (section 11 condition not met on the registered reading)
V5,B5,WITHOUT,Lu(III) x CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,0.18535,0.137667,-0.0476827,10,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,pub_8415538291,Lu(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,,140,0,140,pyridine_carboxamide,SOFT_N_DONOR,0,,,False,False,False,False,exploratory (section 11 condition not met on the registered reading)
V5,B5,WITHOUT,Nd(III) x CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,0.466937,0.814191,0.347253,12,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,pub_d59c40b453,Nd(III),CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,,520,254,50,diglycolamide,NEUTRAL_SOLVATING,23,0.233693,0.26087,False,False,False,False,exploratory (section 11 condition not met on the registered reading)
V5,B5,WITHOUT,Nd(III) x CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,0.267328,0.204336,-0.0629912,14,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,pub_bdb1564c49,Nd(III),CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,,134,0,134,diglycolamide,NEUTRAL_SOLVATING,0,,,False,False,False,False,exploratory (section 11 condition not met on the registered reading)
V5,B5,WITHOUT,Sm(III) x CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,0.230363,0.227775,-0.00258843,15,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,pub_bdb1564c49,Sm(III),CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,,134,0,134,diglycolamide,NEUTRAL_SOLVATING,0,,,False,False,False,False,exploratory (section 11 condition not met on the registered reading)
V5,B5,WITHOUT,Sm(III) x CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.257356,0.259125,0.00176992,22,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,pub_19783c039b,Sm(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,,462,1,298,diglycolamide,NEUTRAL_SOLVATING,1,0.218559,1,False,False,False,True,exploratory (section 11 condition not met on the registered reading)
V5,B5,WITHOUT,Sm(III) x CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.243578,0.214197,-0.029381,70,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,pub_b0b3296ec5,Sm(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,,3066,945,1510,diglycolamide,NEUTRAL_SOLVATING,295,0.79698,0.681356,False,False,False,True,exploratory (section 11 condition not met on the registered reading)
V5,B5,WITHOUT,Sm(III) x CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,0.28495,0.215522,-0.069428,16,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,pub_6a0ef8528c,Sm(III),CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,,348,0,348,n_heterocyclic,SOFT_N_DONOR,0,,,False,False,False,False,exploratory (section 11 condition not met on the registered reading)
V5,B5,WITHOUT,Sm(III) x CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,0.155022,0.13678,-0.0182419,10,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,pub_8415538291,Sm(III),CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,,140,0,140,pyridine_carboxamide,SOFT_N_DONOR,0,,,False,False,False,False,exploratory (section 11 condition not met on the registered reading)
V5,B5,WITHOUT,Tb(III) x CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.180033,0.0963801,-0.0836529,21,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,pub_19783c039b,Tb(III),CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,,462,1,298,diglycolamide,NEUTRAL_SOLVATING,1,0.218559,1,False,False,False,True,exploratory (section 11 condition not met on the registered reading)
V5,B5,WITHOUT,Tb(III) x CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.201102,0.208667,0.00756432,87,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,pub_37086f6378,Tb(III),CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,,3066,945,1510,diglycolamide,NEUTRAL_SOLVATING,295,0.79698,0.681356,False,False,False,True,exploratory (section 11 condition not met on the registered reading)
